HCP_ID,Doctor_Name,Specialization,Hospital_ID,Territory_ID,Qualification,Experience_Years,City,Email,Phone,Status,Join_Date,Gender
HCP00068,Dr_68,Cardiologist,HOS0617,T018,MD,31,Delhi,dr67@novacure.com,9832948183,Inactive,2024-01-01,M
HCP00069,Dr_69,Neurologist,HOS0301,T116,MBBS,7,Pune,dr68@novacure.com,9538835042,Active,2024-01-01,F
HCP00070,Dr_70,Cardiologist,HOS0261,T046,MBBS,6,Pune,dr69@novacure.com,9245704986,Inactive,2024-01-01,M
HCP00071,Dr_71,Diabetologist,HOS0906,T064,DM,17,Hyderabad,dr70@novacure.com,9530348435,Active,2024-01-01,F
HCP00072,Dr_72,Diabetologist,HOS0536,T091,MBBS,28,Pune,dr71@novacure.com,9996511914,Inactive,2024-01-01,F
HCP00073,Dr_73,Oncologist,HOS0610,T198,DM,35,Delhi,dr72@novacure.com,9912629257,Inactive,2024-01-01,M
HCP00074,Dr_74,Pulmonologist,HOS0429,T047,MD,35,Chennai,dr73@novacure.com,9623568611,Active,2024-01-01,F
HCP00075,Dr_75,Oncologist,HOS0091,T083,DM,25,Chennai,dr74@novacure.com,9823294466,Active,2024-01-01,M
HCP00076,Dr_76,Cardiologist,HOS0264,T137,MBBS,18,Chennai,dr75@novacure.com,9334163312,Inactive,2024-01-01,F
HCP00077,Dr_77,Diabetologist,HOS0807,T142,MD,1,Chennai,dr76@novacure.com,9422358863,Inactive,2024-01-01,M
HCP00078,Dr_78,Physician,HOS0529,T184,MBBS,9,Chennai,dr77@novacure.com,9286916434,Inactive,2024-01-01,M
HCP00079,Dr_79,Cardiologist,HOS0232,T009,MBBS,9,Hyderabad,dr78@novacure.com,9566452668,Active,2024-01-01,M
HCP00080,Dr_80,Diabetologist,HOS0206,T169,MD,14,Chennai,dr79@novacure.com,9552987013,Active,2024-01-01,F
HCP00081,Dr_81,Physician,HOS0511,T026,MD,14,Chennai,dr80@novacure.com,9431001177,Active,2024-01-01,F
HCP00082,Dr_82,Diabetologist,HOS0971,T164,MD,19,Delhi,dr81@novacure.com,9649973814,Active,2024-01-01,F
HCP00083,Dr_83,Pulmonologist,HOS0811,T164,MBBS,15,Chennai,dr82@novacure.com,9727888658,Inactive,2024-01-01,M
HCP00084,Dr_84,Oncologist,HOS0695,T181,MD,12,Chennai,dr83@novacure.com,9694714052,Active,2024-01-01,F
HCP00085,Dr_85,Diabetologist,HOS0524,T050,DM,17,Delhi,dr84@novacure.com,9777427339,Active,2024-01-01,M
HCP00086,Dr_86,Pulmonologist,HOS0561,T024,MBBS,7,Chennai,dr85@novacure.com,9583894739,Inactive,2024-01-01,M
HCP00087,Dr_87,Physician,HOS0406,T177,MD,21,Delhi,dr86@novacure.com,9817537811,Inactive,2024-01-01,M
HCP00088,Dr_88,Neurologist,HOS0336,T130,MD,21,Delhi,dr87@novacure.com,9638035648,Inactive,2024-01-01,M
HCP00089,Dr_89,Oncologist,HOS0383,T024,MBBS,27,Hyderabad,dr88@novacure.com,9107507185,Active,2024-01-01,M
HCP00090,Dr_90,Cardiologist,HOS0025,T061,DM,34,Chennai,dr89@novacure.com,9544505132,Active,2024-01-01,F
HCP00091,Dr_91,Physician,HOS0081,T195,MD,11,Delhi,dr90@novacure.com,9316261708,Inactive,2024-01-01,M
HCP00092,Dr_92,Physician,HOS0348,T191,MD,8,Pune,dr91@novacure.com,9217785903,Active,2024-01-01,M
HCP00093,Dr_93,Pulmonologist,HOS0081,T197,MD,2,Hyderabad,dr92@novacure.com,9329112751,Inactive,2024-01-01,M
HCP00094,Dr_94,Diabetologist,HOS0993,T119,MBBS,21,Pune,dr93@novacure.com,9982525756,Inactive,2024-01-01,M
HCP00095,Dr_95,Pulmonologist,HOS0820,T018,MBBS,31,Hyderabad,dr94@novacure.com,9952412212,Inactive,2024-01-01,F
HCP00096,Dr_96,Cardiologist,HOS0958,T020,MD,19,Chennai,dr95@novacure.com,9476806492,Inactive,2024-01-01,M
HCP00097,Dr_97,Oncologist,HOS0047,T067,DM,24,Delhi,dr96@novacure.com,9165877349,Active,2024-01-01,M
HCP00098,Dr_98,Neurologist,HOS0097,T105,MD,20,Pune,dr97@novacure.com,9811995600,Active,2024-01-01,F
HCP00099,Dr_99,Physician,HOS0651,T054,MBBS,25,Hyderabad,dr98@novacure.com,9166636400,Active,2024-01-01,F
HCP00100,Dr_100,Diabetologist,HOS0951,T013,MD,32,Pune,dr99@novacure.com,9945692980,Inactive,2024-01-01,M
HCP00101,Dr_101,Physician,HOS0316,T088,MBBS,13,Chennai,dr100@novacure.com,9976233433,Active,2024-01-01,M
HCP00102,Dr_102,Diabetologist,HOS0739,T165,MBBS,35,Delhi,dr101@novacure.com,9399413782,Active,2024-01-01,F
HCP00103,Dr_103,Physician,HOS0103,T196,DM,3,Delhi,dr102@novacure.com,9258563875,Inactive,2024-01-01,F
HCP00104,Dr_104,Neurologist,HOS0217,T162,MD,25,Pune,dr103@novacure.com,9188838705,Active,2024-01-01,M
HCP00105,Dr_105,Physician,HOS0118,T070,MBBS,18,Pune,dr104@novacure.com,9897851901,Active,2024-01-01,M
HCP00106,Dr_106,Physician,HOS0684,T123,DM,8,Chennai,dr105@novacure.com,9841334400,Active,2024-01-01,M
HCP00107,Dr_107,Physician,HOS0182,T079,MBBS,16,Pune,dr106@novacure.com,9553310212,Active,2024-01-01,F
HCP00108,Dr_108,Physician,HOS0339,T005,MD,11,Hyderabad,dr107@novacure.com,9488945853,Inactive,2024-01-01,F
HCP00109,Dr_109,Cardiologist,HOS0035,T040,DM,16,Delhi,dr108@novacure.com,9981938679,Active,2024-01-01,F
HCP00110,Dr_110,Cardiologist,HOS0804,T050,DM,12,Delhi,dr109@novacure.com,9771539545,Active,2024-01-01,F
HCP00111,Dr_111,Oncologist,HOS0296,T110,MBBS,12,Hyderabad,dr110@novacure.com,9718137101,Active,2024-01-01,F
HCP00112,Dr_112,Neurologist,HOS0463,T011,MD,10,Hyderabad,dr111@novacure.com,9382816794,Active,2024-01-01,F
HCP00113,Dr_113,Neurologist,HOS0365,T049,MD,14,Delhi,dr112@novacure.com,9625900568,Inactive,2024-01-01,M
HCP00114,Dr_114,Neurologist,HOS0059,T095,MD,21,Chennai,dr113@novacure.com,9539970135,Active,2024-01-01,M
HCP00115,Dr_115,Diabetologist,HOS0531,T121,DM,16,Pune,dr114@novacure.com,9858341387,Inactive,2024-01-01,F
HCP00116,Dr_116,Neurologist,HOS0545,T166,MBBS,32,Hyderabad,dr115@novacure.com,9834164873,Inactive,2024-01-01,M
HCP00117,Dr_117,Diabetologist,HOS0941,T076,DM,19,Hyderabad,dr116@novacure.com,9633869157,Inactive,2024-01-01,M
HCP00118,Dr_118,Diabetologist,HOS0883,T127,MBBS,28,Pune,dr117@novacure.com,9987331816,Active,2024-01-01,F
HCP00119,Dr_119,Oncologist,HOS0288,T093,DM,14,Delhi,dr118@novacure.com,9862111743,Active,2024-01-01,M
HCP00120,Dr_120,Cardiologist,HOS0120,T195,MD,19,Hyderabad,dr119@novacure.com,9619189044,Active,2024-01-01,M
HCP00121,Dr_121,Neurologist,HOS0363,T099,MBBS,13,Hyderabad,dr120@novacure.com,9764490401,Inactive,2024-01-01,M
HCP00122,Dr_122,Cardiologist,HOS0999,T067,DM,25,Chennai,dr121@novacure.com,9543349716,Inactive,2024-01-01,M
HCP00123,Dr_123,Cardiologist,HOS0524,T189,MBBS,7,Chennai,dr122@novacure.com,9331304391,Inactive,2024-01-01,F
HCP00124,Dr_124,Neurologist,HOS0796,T039,DM,32,Pune,dr123@novacure.com,9715874385,Active,2024-01-01,M
HCP00125,Dr_125,Diabetologist,HOS0090,T154,MD,34,Pune,dr124@novacure.com,9992076820,Inactive,2024-01-01,F
HCP00126,Dr_126,Neurologist,HOS0361,T128,DM,2,Delhi,dr125@novacure.com,9612350052,Active,2024-01-01,M
HCP00127,Dr_127,Diabetologist,HOS0776,T073,DM,19,Hyderabad,dr126@novacure.com,9828147186,Active,2024-01-01,M
HCP00128,Dr_128,Neurologist,HOS0898,T076,MD,28,Pune,dr127@novacure.com,9747450029,Inactive,2024-01-01,M
HCP00129,Dr_129,Pulmonologist,HOS0103,T042,DM,6,Delhi,dr128@novacure.com,9746734455,Inactive,2024-01-01,M
HCP00130,Dr_130,Pulmonologist,HOS0713,T029,MBBS,15,Pune,dr129@novacure.com,9452185614,Active,2024-01-01,F
HCP00131,Dr_131,Physician,HOS0022,T120,DM,9,Delhi,dr130@novacure.com,9954506609,Active,2024-01-01,M
HCP00132,Dr_132,Pulmonologist,HOS0009,T110,MD,31,Pune,dr131@novacure.com,9313846840,Active,2024-01-01,F
HCP00133,Dr_133,Pulmonologist,HOS0543,T058,MD,22,Pune,dr132@novacure.com,9170993805,Active,2024-01-01,F
HCP00134,Dr_134,Pulmonologist,HOS0578,T129,MD,28,Hyderabad,dr133@novacure.com,9764700714,Active,2024-01-01,F
HCP00135,Dr_135,Pulmonologist,HOS0524,T131,MD,33,Delhi,dr134@novacure.com,9202786957,Active,2024-01-01,F
HCP00136,Dr_136,Oncologist,HOS0729,T102,MBBS,21,Chennai,dr135@novacure.com,9193216288,Inactive,2024-01-01,M
HCP00137,Dr_137,Diabetologist,HOS0328,T015,MD,18,Pune,dr136@novacure.com,9246673470,Active,2024-01-01,F
HCP00138,Dr_138,Physician,HOS0341,T100,MD,8,Pune,dr137@novacure.com,9414407371,Inactive,2024-01-01,F
HCP00139,Dr_139,Physician,HOS0017,T001,DM,26,Hyderabad,dr138@novacure.com,9718691156,Inactive,2024-01-01,M
HCP00140,Dr_140,Pulmonologist,HOS0225,T159,DM,28,Chennai,dr139@novacure.com,9820512761,Active,2024-01-01,M
HCP00141,Dr_141,Pulmonologist,HOS0869,T159,MBBS,6,Pune,dr140@novacure.com,9675552466,Inactive,2024-01-01,M
HCP00142,Dr_142,Pulmonologist,HOS0859,T133,MD,22,Chennai,dr141@novacure.com,9958257565,Active,2024-01-01,F
HCP00143,Dr_143,Pulmonologist,HOS0351,T125,DM,8,Hyderabad,dr142@novacure.com,9963230236,Inactive,2024-01-01,F
HCP00144,Dr_144,Pulmonologist,HOS0654,T198,MBBS,22,Pune,dr143@novacure.com,9517025169,Inactive,2024-01-01,F
HCP00145,Dr_145,Pulmonologist,HOS0232,T149,MBBS,6,Chennai,dr144@novacure.com,9411118993,Inactive,2024-01-01,M
HCP00146,Dr_146,Pulmonologist,HOS0846,T001,MBBS,23,Chennai,dr145@novacure.com,9955186684,Inactive,2024-01-01,F
HCP00147,Dr_147,Physician,HOS0210,T084,MBBS,11,Delhi,dr146@novacure.com,9434158399,Active,2024-01-01,M
HCP00148,Dr_148,Physician,HOS0519,T047,DM,8,Hyderabad,dr147@novacure.com,9163369822,Active,2024-01-01,F
HCP00149,Dr_149,Physician,HOS0383,T166,MBBS,14,Delhi,dr148@novacure.com,9184029572,Active,2024-01-01,F
HCP00150,Dr_150,Physician,HOS0751,T147,DM,6,Hyderabad,dr149@novacure.com,9712256447,Active,2024-01-01,F
HCP00151,Dr_151,Oncologist,HOS0968,T114,DM,11,Chennai,dr150@novacure.com,9124711232,Inactive,2024-01-01,F
HCP00152,Dr_152,Neurologist,HOS0891,T006,MBBS,3,Pune,dr151@novacure.com,9602665193,Inactive,2024-01-01,F
HCP00153,Dr_153,Physician,HOS0939,T087,MD,2,Chennai,dr152@novacure.com,9672034480,Inactive,2024-01-01,M
HCP00154,Dr_154,Cardiologist,HOS0944,T040,DM,5,Delhi,dr153@novacure.com,9791531534,Active,2024-01-01,F
HCP00155,Dr_155,Neurologist,HOS0859,T108,MBBS,29,Chennai,dr154@novacure.com,9212925875,Inactive,2024-01-01,M
HCP00156,Dr_156,Pulmonologist,HOS0323,T155,DM,23,Delhi,dr155@novacure.com,9949883506,Active,2024-01-01,F
HCP00157,Dr_157,Diabetologist,HOS0675,T184,DM,3,Hyderabad,dr156@novacure.com,9494024648,Inactive,2024-01-01,M
HCP00158,Dr_158,Diabetologist,HOS0301,T108,MD,18,Hyderabad,dr157@novacure.com,9682127743,Inactive,2024-01-01,F
HCP00159,Dr_159,Cardiologist,HOS0982,T094,MBBS,21,Pune,dr158@novacure.com,9682770373,Inactive,2024-01-01,F
HCP00160,Dr_160,Pulmonologist,HOS0060,T022,DM,26,Hyderabad,dr159@novacure.com,9794329989,Active,2024-01-01,F
HCP00161,Dr_161,Oncologist,HOS0268,T075,DM,34,Pune,dr160@novacure.com,9345517782,Inactive,2024-01-01,F
HCP00162,Dr_162,Pulmonologist,HOS0902,T087,MD,19,Hyderabad,dr161@novacure.com,9738609189,Inactive,2024-01-01,M
HCP00163,Dr_163,Physician,HOS0785,T033,MD,22,Chennai,dr162@novacure.com,9400843496,Inactive,2024-01-01,M
HCP00164,Dr_164,Neurologist,HOS0175,T009,MD,7,Pune,dr163@novacure.com,9952505564,Active,2024-01-01,F
HCP00165,Dr_165,Cardiologist,HOS0456,T065,DM,5,Hyderabad,dr164@novacure.com,9856001542,Inactive,2024-01-01,F
HCP00166,Dr_166,Neurologist,HOS0758,T084,DM,33,Delhi,dr165@novacure.com,9660971680,Active,2024-01-01,M
HCP00167,Dr_167,Cardiologist,HOS0667,T140,DM,20,Delhi,dr166@novacure.com,9103111988,Inactive,2024-01-01,M
HCP00168,Dr_168,Neurologist,HOS0261,T134,DM,3,Delhi,dr167@novacure.com,9999461800,Active,2024-01-01,M
HCP00169,Dr_169,Pulmonologist,HOS0232,T054,MBBS,34,Delhi,dr168@novacure.com,9767929503,Active,2024-01-01,F
HCP00170,Dr_170,Pulmonologist,HOS0331,T171,MBBS,26,Pune,dr169@novacure.com,9653502030,Active,2024-01-01,M
HCP00171,Dr_171,Neurologist,HOS0911,T072,DM,28,Pune,dr170@novacure.com,9243258017,Active,2024-01-01,F
HCP00172,Dr_172,Neurologist,HOS0215,T125,MBBS,8,Pune,dr171@novacure.com,9540602544,Inactive,2024-01-01,M
HCP00173,Dr_173,Pulmonologist,HOS0971,T130,MD,14,Pune,dr172@novacure.com,9829030102,Active,2024-01-01,F
HCP00174,Dr_174,Neurologist,HOS0169,T070,MBBS,16,Hyderabad,dr173@novacure.com,9681922247,Inactive,2024-01-01,F
HCP00175,Dr_175,Oncologist,HOS0191,T181,MD,15,Delhi,dr174@novacure.com,9654652469,Active,2024-01-01,M
HCP00176,Dr_176,Neurologist,HOS0570,T027,MD,4,Pune,dr175@novacure.com,9963563849,Inactive,2024-01-01,F
HCP00177,Dr_177,Cardiologist,HOS0592,T119,MBBS,20,Delhi,dr176@novacure.com,9196372894,Active,2024-01-01,F
HCP00178,Dr_178,Oncologist,HOS0756,T024,MD,22,Hyderabad,dr177@novacure.com,9954062608,Active,2024-01-01,F
HCP00179,Dr_179,Cardiologist,HOS0778,T063,DM,23,Hyderabad,dr178@novacure.com,9969562243,Inactive,2024-01-01,M
HCP00180,Dr_180,Physician,HOS0635,T096,MBBS,4,Chennai,dr179@novacure.com,9747509327,Active,2024-01-01,F
HCP00181,Dr_181,Neurologist,HOS0514,T013,MBBS,29,Hyderabad,dr180@novacure.com,9852960693,Inactive,2024-01-01,M
HCP00182,Dr_182,Pulmonologist,HOS0618,T009,DM,12,Hyderabad,dr181@novacure.com,9468424440,Active,2024-01-01,M
HCP00183,Dr_183,Neurologist,HOS0879,T148,DM,18,Delhi,dr182@novacure.com,9444692530,Inactive,2024-01-01,M
HCP00184,Dr_184,Neurologist,HOS0708,T097,MBBS,14,Hyderabad,dr183@novacure.com,9455972975,Inactive,2024-01-01,F
HCP00185,Dr_185,Pulmonologist,HOS0704,T072,MD,5,Chennai,dr184@novacure.com,9142353654,Inactive,2024-01-01,M
HCP00186,Dr_186,Oncologist,HOS0059,T132,MD,19,Pune,dr185@novacure.com,9618145430,Inactive,2024-01-01,M
HCP00187,Dr_187,Pulmonologist,HOS0683,T027,MD,2,Hyderabad,dr186@novacure.com,9834756470,Inactive,2024-01-01,F
HCP00188,Dr_188,Pulmonologist,HOS0179,T197,MBBS,26,Hyderabad,dr187@novacure.com,9779221720,Inactive,2024-01-01,M
HCP00189,Dr_189,Pulmonologist,HOS0840,T176,MBBS,3,Chennai,dr188@novacure.com,9854173232,Active,2024-01-01,F
HCP00190,Dr_190,Physician,HOS0783,T136,MD,32,Delhi,dr189@novacure.com,9827644871,Active,2024-01-01,F
HCP00191,Dr_191,Cardiologist,HOS0497,T005,MD,2,Delhi,dr190@novacure.com,9460714996,Active,2024-01-01,F
HCP00192,Dr_192,Diabetologist,HOS0998,T032,MD,26,Delhi,dr191@novacure.com,9370950746,Active,2024-01-01,F
HCP00193,Dr_193,Diabetologist,HOS0630,T147,DM,14,Chennai,dr192@novacure.com,9662700803,Inactive,2024-01-01,M
HCP00194,Dr_194,Physician,HOS0746,T049,MD,33,Delhi,dr193@novacure.com,9802703728,Active,2024-01-01,M
HCP00195,Dr_195,Oncologist,HOS0852,T104,DM,20,Delhi,dr194@novacure.com,9980370860,Active,2024-01-01,M
HCP00196,Dr_196,Physician,HOS0344,T065,MD,15,Delhi,dr195@novacure.com,9393000413,Active,2024-01-01,M
HCP00197,Dr_197,Pulmonologist,HOS0174,T072,MBBS,11,Hyderabad,dr196@novacure.com,9323397380,Active,2024-01-01,M
HCP00198,Dr_198,Pulmonologist,HOS0324,T114,MD,22,Delhi,dr197@novacure.com,9316382426,Inactive,2024-01-01,M
HCP00199,Dr_199,Physician,HOS0526,T018,DM,9,Chennai,dr198@novacure.com,9708645824,Inactive,2024-01-01,F
HCP00200,Dr_200,Oncologist,HOS0845,T095,DM,11,Delhi,dr199@novacure.com,9532446150,Active,2024-01-01,F
HCP00201,Dr_201,Pulmonologist,HOS0832,T141,MD,17,Delhi,dr200@novacure.com,9495098098,Active,2024-01-01,F
HCP00202,Dr_202,Pulmonologist,HOS0428,T184,DM,35,Hyderabad,dr201@novacure.com,9891552692,Inactive,2024-01-01,M
HCP00203,Dr_203,Diabetologist,HOS0736,T189,MD,21,Delhi,dr202@novacure.com,9199095587,Inactive,2024-01-01,F
HCP00204,Dr_204,Diabetologist,HOS0335,T017,MBBS,4,Chennai,dr203@novacure.com,9618923022,Inactive,2024-01-01,F
HCP00205,Dr_205,Pulmonologist,HOS0833,T117,MBBS,16,Chennai,dr204@novacure.com,9597761168,Inactive,2024-01-01,F
HCP00206,Dr_206,Oncologist,HOS0605,T193,MD,23,Pune,dr205@novacure.com,9127917577,Inactive,2024-01-01,M
HCP00207,Dr_207,Cardiologist,HOS0540,T083,MBBS,18,Delhi,dr206@novacure.com,9272615039,Inactive,2024-01-01,M
HCP00208,Dr_208,Oncologist,HOS0492,T147,MBBS,15,Hyderabad,dr207@novacure.com,9464371372,Inactive,2024-01-01,M
HCP00209,Dr_209,Physician,HOS0125,T108,MD,21,Chennai,dr208@novacure.com,9448202991,Active,2024-01-01,M
